University ID,University Name,Official Website,Email (Inquiry),Phone Number,Address,Country,State,City,Zip Code,Latitude,Longitude,Campus Type,Established,Programs Offered -Undergraduate,duration of undergraduation course,Programs Offered-Postgraduate,duration of postgraduation course,Programs Offered -PhD,duration of phd course,Programs Offered-Diploma,duration of diploma course,Programs Offered Online courses,duration of online course,Popular Courses,Admission Req,CGPA,IELTS,SAT/GRE/GMAT,Deadline (Sem 1),Academic Calendar,Medium,Tuition Fee (Annual),Living Cost (Annual),Total Estimated Cost,Scholarships,Intl Services,Accommodation,Airport Pickup,Pre-arrival,Documents Required,Image URL,Program Level,Course
00113B,Deakin University,https://www.deakin.edu.au,deakin-international@deakin.edu.au,+61 3 9244 6333,"221 Burwood Hwy, Burwood",Australia,Victoria,Melbourne,3125,-37.8475,145.1148,Multi-campus,1974,"Bachelor of Arts, Bachelor of Business Analytics, Bachelor of Commerce, Bachelor of Cyber Security, Bachelor of Nursing, Bachelor of Psychology, Bachelor of Sport Development",3-4 Years,"Master of Business Administration (International), Master of Cyber Security (Professional), Master of Data Science, Master of Information Technology",1.5-2 Years,"PhD in Arts, PhD in Business, PhD in Education, PhD in Health, PhD in Science, Engineering and Built Environment",3-4 Years,"Diploma of Business, Diploma of Commerce, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Graduate Certificate of Data Analytics (Online)",0.5-2 Years,"Sports Science, Nursing, Business Analytics",High School Certificate / Bachelor Degree,2.6/4.0,6.0 - 7.0,Not required,December 15,Trimester 1: March; Trimester 2: July; Trimester 3: Nov,English,"30,000 - 41,000 AUD","23,000 - 27,000 AUD","53,000 - 68,000 AUD",Deakin Vice-Chancellor's International Scholarship,"International Student Support, Career Success","On-campus Residences, Shared Housing",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/b/b3/Deakin_University_Burwood_Campus.jpg,Online,Master of Business Administration (Online)
00113B,Deakin University,https://www.deakin.edu.au,deakin-international@deakin.edu.au,+61 3 9244 6333,"221 Burwood Hwy, Burwood",Australia,Victoria,Melbourne,3125,-37.8475,145.1148,Multi-campus,1974,"Bachelor of Arts, Bachelor of Business Analytics, Bachelor of Commerce, Bachelor of Cyber Security, Bachelor of Nursing, Bachelor of Psychology, Bachelor of Sport Development",3-4 Years,"Master of Business Administration (International), Master of Cyber Security (Professional), Master of Data Science, Master of Information Technology",1.5-2 Years,"PhD in Arts, PhD in Business, PhD in Education, PhD in Health, PhD in Science, Engineering and Built Environment",3-4 Years,"Diploma of Business, Diploma of Commerce, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Graduate Certificate of Data Analytics (Online)",0.5-2 Years,"Sports Science, Nursing, Business Analytics",High School Certificate / Bachelor Degree,2.6/4.0,6.0 - 7.0,Not required,December 15,Trimester 1: March; Trimester 2: July; Trimester 3: Nov,English,"30,000 - 41,000 AUD","23,000 - 27,000 AUD","53,000 - 68,000 AUD",Deakin Vice-Chancellor's International Scholarship,"International Student Support, Career Success","On-campus Residences, Shared Housing",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/b/b3/Deakin_University_Burwood_Campus.jpg,Online,Master of Cybersecurity (Online)
00113B,Deakin University,https://www.deakin.edu.au,deakin-international@deakin.edu.au,+61 3 9244 6333,"221 Burwood Hwy, Burwood",Australia,Victoria,Melbourne,3125,-37.8475,145.1148,Multi-campus,1974,"Bachelor of Arts, Bachelor of Business Analytics, Bachelor of Commerce, Bachelor of Cyber Security, Bachelor of Nursing, Bachelor of Psychology, Bachelor of Sport Development",3-4 Years,"Master of Business Administration (International), Master of Cyber Security (Professional), Master of Data Science, Master of Information Technology",1.5-2 Years,"PhD in Arts, PhD in Business, PhD in Education, PhD in Health, PhD in Science, Engineering and Built Environment",3-4 Years,"Diploma of Business, Diploma of Commerce, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Graduate Certificate of Data Analytics (Online)",0.5-2 Years,"Sports Science, Nursing, Business Analytics",High School Certificate / Bachelor Degree,2.6/4.0,6.0 - 7.0,Not required,December 15,Trimester 1: March; Trimester 2: July; Trimester 3: Nov,English,"30,000 - 41,000 AUD","23,000 - 27,000 AUD","53,000 - 68,000 AUD",Deakin Vice-Chancellor's International Scholarship,"International Student Support, Career Success","On-campus Residences, Shared Housing",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/b/b3/Deakin_University_Burwood_Campus.jpg,Online,Graduate Certificate of Data Analytics (Online)
00113B,Deakin University,https://www.deakin.edu.au,deakin-international@deakin.edu.au,+61 3 9244 6333,"221 Burwood Hwy, Burwood",Australia,Victoria,Melbourne,3125,-37.8475,145.1148,Multi-campus,1974,"Bachelor of Arts, Bachelor of Business Analytics, Bachelor of Commerce, Bachelor of Cyber Security, Bachelor of Nursing, Bachelor of Psychology, Bachelor of Sport Development",3-4 Years,"Master of Business Administration (International), Master of Cyber Security (Professional), Master of Data Science, Master of Information Technology",1.5-2 Years,"PhD in Arts, PhD in Business, PhD in Education, PhD in Health, PhD in Science, Engineering and Built Environment",3-4 Years,"Diploma of Business, Diploma of Commerce, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Graduate Certificate of Data Analytics (Online)",0.5-2 Years,"Sports Science, Nursing, Business Analytics",High School Certificate / Bachelor Degree,2.6/4.0,6.0 - 7.0,Not required,December 15,Trimester 1: March; Trimester 2: July; Trimester 3: Nov,English,"30,000 - 41,000 AUD","23,000 - 27,000 AUD","53,000 - 68,000 AUD",Deakin Vice-Chancellor's International Scholarship,"International Student Support, Career Success","On-campus Residences, Shared Housing",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/b/b3/Deakin_University_Burwood_Campus.jpg,Popular,Sports Science
00113B,Deakin University,https://www.deakin.edu.au,deakin-international@deakin.edu.au,+61 3 9244 6333,"221 Burwood Hwy, Burwood",Australia,Victoria,Melbourne,3125,-37.8475,145.1148,Multi-campus,1974,"Bachelor of Arts, Bachelor of Business Analytics, Bachelor of Commerce, Bachelor of Cyber Security, Bachelor of Nursing, Bachelor of Psychology, Bachelor of Sport Development",3-4 Years,"Master of Business Administration (International), Master of Cyber Security (Professional), Master of Data Science, Master of Information Technology",1.5-2 Years,"PhD in Arts, PhD in Business, PhD in Education, PhD in Health, PhD in Science, Engineering and Built Environment",3-4 Years,"Diploma of Business, Diploma of Commerce, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Graduate Certificate of Data Analytics (Online)",0.5-2 Years,"Sports Science, Nursing, Business Analytics",High School Certificate / Bachelor Degree,2.6/4.0,6.0 - 7.0,Not required,December 15,Trimester 1: March; Trimester 2: July; Trimester 3: Nov,English,"30,000 - 41,000 AUD","23,000 - 27,000 AUD","53,000 - 68,000 AUD",Deakin Vice-Chancellor's International Scholarship,"International Student Support, Career Success","On-campus Residences, Shared Housing",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/b/b3/Deakin_University_Burwood_Campus.jpg,Popular,Nursing
00113B,Deakin University,https://www.deakin.edu.au,deakin-international@deakin.edu.au,+61 3 9244 6333,"221 Burwood Hwy, Burwood",Australia,Victoria,Melbourne,3125,-37.8475,145.1148,Multi-campus,1974,"Bachelor of Arts, Bachelor of Business Analytics, Bachelor of Commerce, Bachelor of Cyber Security, Bachelor of Nursing, Bachelor of Psychology, Bachelor of Sport Development",3-4 Years,"Master of Business Administration (International), Master of Cyber Security (Professional), Master of Data Science, Master of Information Technology",1.5-2 Years,"PhD in Arts, PhD in Business, PhD in Education, PhD in Health, PhD in Science, Engineering and Built Environment",3-4 Years,"Diploma of Business, Diploma of Commerce, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Graduate Certificate of Data Analytics (Online)",0.5-2 Years,"Sports Science, Nursing, Business Analytics",High School Certificate / Bachelor Degree,2.6/4.0,6.0 - 7.0,Not required,December 15,Trimester 1: March; Trimester 2: July; Trimester 3: Nov,English,"30,000 - 41,000 AUD","23,000 - 27,000 AUD","53,000 - 68,000 AUD",Deakin Vice-Chancellor's International Scholarship,"International Student Support, Career Success","On-campus Residences, Shared Housing",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/b/b3/Deakin_University_Burwood_Campus.jpg,Popular,Business Analytics
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Undergraduate,Bachelor of Business
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Undergraduate,Bachelor of Computer Science
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Undergraduate,Bachelor of Criminology and Criminal Justice
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Undergraduate,Bachelor of Dental Health Science
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Undergraduate,Bachelor of Nursing
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Undergraduate,Bachelor of Visual Arts
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Postgraduate,Master of Business Administration
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Postgraduate,Master of Civil Engineering
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Postgraduate,Master of Information Technology
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Postgraduate,Master of Public Health
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,Postgraduate,Master of Social Work
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,PhD,PhD in Business
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,PhD,PhD in Criminology
00233E,Griffith University,https://www.griffith.edu.au,international@griffith.edu.au,+61 7 3735 7111,"Parklands Dr, Southport",Australia,Queensland,Gold Coast,4222,-27.9625,153.3813,Multi-campus,1971,"Bachelor of Business, Bachelor of Computer Science, Bachelor of Criminology and Criminal Justice, Bachelor of Dental Health Science, Bachelor of Nursing, Bachelor of Visual Arts",3-4 Years,"Master of Business Administration, Master of Civil Engineering, Master of Information Technology, Master of Public Health, Master of Social Work",1.5-2 Years,"PhD in Business, PhD in Criminology, PhD in Education, PhD in Engineering, PhD in Health, PhD in Science",3-4 Years,"Diploma of Business, Diploma of Criminology, Diploma of Health Sciences",1 Year,"Master of Business Administration (Online), Master of Cybersecurity (Online), Master of Finance (Online)",1-3 Years,"Nursing, Hospitality and Tourism, Medicine",High School Certificate / Bachelor Degree,2.8/4.0,6.5,GMAT for MBA,January 31,Trimester 1: March; Trimester 2: July; Trimester 3: Oct,English,"29,000 - 40,000 AUD","21,000 - 24,000 AUD","50,000 - 64,000 AUD",Griffith Remarkable Scholarship,"International Student Advisory, Griffith English","On-campus Village, Off-campus Rentals",Yes,Yes,"Transcripts, Passport, IELTS, SOP",https://upload.wikimedia.org/wikipedia/commons/4/4d/Griffith_University_Gold_Coast_Coast_Campus.jpg,PhD,PhD in Education
